Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Web_Visit,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Spending,Accept_Offer,Num_Purchase,Enrolled_Days,Children,Cluster
Master,Divorced,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,72,310,0,15,226,2,1
Bachelor,Married,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,37,46,0,5,627,0,1
PhD,Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,78,1315,3,26,582,0,3
Bachelor,Married,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,44,96,0,9,552,2,1
Bachelor,Relationship,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,78,317,0,13,667,0,1
Master,Married,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,75,1782,1,26,458,1,2
Master,Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,39,133,0,8,603,1,1
Bachelor,Married,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,42,316,0,12,690,0,1
Bachelor,Married,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,45,1730,0,43,539,1,2
PhD,Married,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,75,972,1,17,553,1,2
PhD,Married,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,70,544,0,20,169,1,2
Bachelor,Relationship,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,73,444,0,20,468,1,1
Bachelor,Single,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,55,75,0,8,543,0,1
Bachelor,Married,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,48,257,0,14,398,2,1
Bachelor,Married,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,35,131,0,9,394,1,1
PhD,Married,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,59,1672,1,26,219,0,2
Master,Divorced,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,35,30,0,8,38,0,1
Master,Relationship,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,61,318,0,11,414,0,1
Bachelor,Relationship,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,54,120,1,9,627,1,1
PhD,Divorced,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,72,302,1,17,608,2,1
Master,Married,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,78,1196,0,18,494,0,2
Master,Single,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,73,65,0,6,304,2,1
PhD,Married,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,54,913,0,28,180,1,2
Master,Married,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,48,81,0,9,300,1,1
Bachelor,Widow,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,51,67,0,7,138,1,1
PhD,Divorced,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,81,902,2,24,513,0,2
Bachelor,Married,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,44,1395,0,21,426,1,2
Master,Married,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,39,53,0,7,474,1,1
Bachelor,Relationship,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,67,22,0,4,552,1,1
Master,Married,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,49,31,0,8,270,1,1
Bachelor,Single,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,48,984,0,16,1,0,2
Master,Married,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,28,122,1,10,597,0,1
Bachelor,Relationship,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,56,55,0,5,401,1,1
PhD,Married,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,70,1319,0,28,598,2,2
Bachelor,Widow,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,67,507,0,17,48,1,2
Master,Married,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,60,1693,0,29,687,0,2
Bachelor,Single,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,47,72,0,7,543,1,1
Bachelor,Divorced,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,47,1617,3,21,22,0,3
Bachelor,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,46,606,0,23,382,2,2
Master,Relationship,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,69,1957,2,27,587,0,3
Bachelor,Divorced,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,58,1093,1,21,453,0,2
Bachelor,Single,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,36,29,0,6,62,1,1
PhD,Married,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,56,518,0,19,118,1,2
Master,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,42,1438,3,21,360,0,3
Bachelor,Relationship,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,49,612,0,22,660,2,2
Bachelor,Single,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,72,884,0,24,496,1,2
PhD,Widow,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,73,606,0,19,383,1,2
Bachelor,Relationship,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,76,1076,0,16,205,0,2
Bachelor,Married,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,53,34,1,5,404,1,1
Bachelor,Relationship,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,57,11,0,4,49,2,1
Master,Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,45,1274,3,32,102,1,3
Bachelor,Relationship,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,66,653,0,18,275,1,2
Bachelor,Relationship,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,54,1562,0,19,447,3,2
Master,Married,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,70,1253,0,21,656,0,2
Bachelor,Married,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,65,863,0,30,469,1,2
PhD,Married,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,49,661,1,24,450,2,2
Bachelor,Married,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,72,65,0,8,60,0,1
Bachelor,Divorced,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,47,13,0,4,557,1,1
Master,Married,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,52,1890,1,19,671,0,2
Bachelor,Single,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,48,2209,2,22,625,0,3
Master,Relationship,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,48,18,0,4,298,0,1
Bachelor,Relationship,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,59,692,2,21,543,0,2
Bachelor,Single,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,39,165,0,12,669,1,1
Bachelor,Married,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,55,16,0,4,371,1,1
Master,Married,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,51,79,0,9,361,1,1
Master,Relationship,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,61,318,0,11,414,0,1
Bachelor,Divorced,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,37,778,0,27,124,0,2
Bachelor,Married,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,64,56,0,7,322,2,1
Master,Married,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,54,151,1,13,348,2,1
Bachelor,Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,67,372,3,17,32,1,1
Bachelor,Married,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,51,1366,1,19,48,0,2
Bachelor,Relationship,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,57,194,0,10,159,1,1
Master,Single,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,52,32,0,5,98,1,1
PhD,Married,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,54,43,0,10,36,1,1
Bachelor,Married,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,41,45,0,6,38,1,1
Bachelor,Widow,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,64,606,1,22,584,1,1
Bachelor,Divorced,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,52,63,0,7,444,2,1
Master,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,73,978,1,25,210,0,2
PhD,Married,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,41,410,0,16,374,0,1
Master,Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,64,72,0,7,341,1,1
PhD,Single,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,65,55,0,7,91,1,1
Bachelor,Relationship,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,45,1169,0,27,435,1,2
PhD,Married,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,79,1120,0,16,408,0,2
Bachelor,Married,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,65,1097,1,20,52,0,2
Basic,Relationship,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,45,29,0,5,201,1,1
Bachelor,Married,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,60,187,0,13,278,2,1
Bachelor,Married,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,55,910,0,26,512,2,2
Bachelor,Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,46,145,0,9,557,1,1
Master,Married,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,64,850,0,14,569,0,2
Bachelor,Relationship,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,45,969,0,24,239,1,2
PhD,Single,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,33,1820,2,17,596,0,3
Master,Relationship,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,61,608,1,20,4,1,2
Bachelor,Single,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,33,730,3,25,543,0,3
PhD,Married,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,44,551,0,21,564,1,2
Bachelor,Single,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,62,114,0,8,292,2,1
Bachelor,Married,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,54,1724,2,15,156,0,3
Master,Married,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,46,577,0,20,495,1,1
Master,Relationship,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,57,81,0,7,353,2,1
Bachelor,Relationship,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,55,33,0,7,227,1,1
Master,Relationship,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,71,660,0,22,374,1,2
Master,Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,57,80,1,9,125,1,1
Master,Married,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,39,30,0,6,298,2,1
Bachelor,Divorced,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,48,43,0,5,433,1,1
Bachelor,Single,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,41,1135,4,27,474,0,3
Master,Relationship,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,59,559,0,16,496,0,2
Bachelor,Single,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,40,1923,1,16,434,0,2
Master,Married,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,71,90,0,8,21,2,1
PhD,Relationship,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,68,661,0,23,50,2,2
Bachelor,Married,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,72,463,0,19,272,1,2
Master,Single,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,66,632,0,23,476,2,2
Bachelor,Married,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,55,725,0,19,139,0,2
PhD,Married,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,60,279,0,16,319,2,1
PhD,Relationship,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,57,1482,1,23,469,0,2
Basic,Divorced,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,48,29,0,6,690,1,1
PhD,Married,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,65,106,0,9,357,3,1
PhD,Single,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,51,49,2,6,41,2,1
PhD,Divorced,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,59,38,0,7,336,2,1
Master,Single,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,32,2077,0,22,618,0,2
Master,Relationship,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,48,1053,1,17,227,1,2
Bachelor,Married,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,62,1385,0,23,436,0,2
PhD,Single,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,50,871,0,25,305,1,2
Bachelor,Relationship,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,36,312,0,12,467,1,1
Bachelor,Married,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,48,877,0,15,619,2,2
Bachelor,Married,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,49,68,1,6,609,1,1
Bachelor,Relationship,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,43,22,0,4,305,1,1
Master,Married,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,51,211,0,16,676,3,1
Master,Married,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,58,127,0,8,8,0,1
Master,Married,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,71,459,0,16,66,2,1
Bachelor,Married,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,55,460,1,19,114,1,2
Master,Relationship,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,52,429,0,17,562,1,1
Bachelor,Single,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,36,89,0,11,48,1,1
PhD,Relationship,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,72,1021,0,26,628,1,2
Bachelor,Relationship,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,75,1381,3,21,495,0,3
Bachelor,Single,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,66,306,0,15,356,1,1
Bachelor,Single,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,46,18,0,4,290,3,1
Bachelor,Relationship,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,47,162,0,9,255,1,1
Bachelor,Single,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,69,1231,0,18,313,0,2
Master,Single,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,66,13,0,4,363,3,1
PhD,Married,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,79,1706,0,27,601,0,2
Bachelor,Married,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,40,121,0,11,175,1,1
PhD,Divorced,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,49,1293,0,20,424,0,2
Bachelor,Relationship,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,58,88,0,9,228,3,1
Bachelor,Divorced,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,71,421,1,18,223,0,1
Bachelor,Divorced,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,65,259,1,12,305,0,1
Bachelor,Single,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0,36,1117,0,15,239,0,2
Bachelor,Relationship,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0,67,89,0,9,124,2,1
Bachelor,Relationship,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,59,36,0,6,69,2,1
Bachelor,Married,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0,42,57,0,7,351,1,1
Bachelor,Married,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0,54,148,0,8,69,2,1
PhD,Relationship,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0,65,93,0,8,150,2,1
Bachelor,Single,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,0,57,119,1,7,86,1,1
PhD,Married,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0,49,1835,0,28,655,1,2
PhD,Married,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,3,11,1,76,1318,3,25,560,0,3
PhD,Married,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,54,45,0,7,37,2,1
Bachelor,Relationship,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,0,65,10,0,4,5,3,1
Master,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,73,978,1,25,210,0,2
PhD,Married,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,3,11,0,48,191,0,10,49,1,1
Master,Married,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,3,11,0,36,57,0,9,50,1,1
Master,Married,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,0,78,1033,0,24,274,0,2
Master,Married,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,3,11,0,40,66,0,6,158,1,1
Basic,Married,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,3,11,0,63,43,0,6,14,0,1
Bachelor,Married,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,3,11,0,41,50,0,5,571,1,1
PhD,Single,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,3,11,0,54,39,0,7,113,1,1
Bachelor,Married,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,0,58,608,0,18,331,1,2
Bachelor,Married,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,3,11,0,48,1581,0,24,467,0,2
PhD,Married,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,60,68,0,7,491,2,1
Basic,Relationship,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,3,11,0,46,80,1,5,658,1,1
PhD,Relationship,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,3,11,0,35,1282,0,28,408,0,2
Bachelor,Married,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,3,11,0,36,91,0,8,395,1,1
Bachelor,Married,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,3,11,0,51,315,0,16,496,2,1
Bachelor,Married,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,3,11,0,47,31,0,6,182,2,1
Master,Married,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,3,11,0,44,834,0,23,47,0,2
Bachelor,Married,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,3,11,0,70,1600,1,17,283,0,2
Bachelor,Married,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,3,11,0,70,1270,0,17,528,0,2
PhD,Single,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,3,11,1,51,263,2,15,90,2,1
Bachelor,Divorced,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,3,11,0,72,535,1,19,0,1,2
Bachelor,Single,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,3,11,0,56,1295,0,18,202,0,2
Bachelor,Divorced,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,3,11,0,46,1150,0,29,258,1,2
PhD,Relationship,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,3,11,1,47,1240,4,26,604,0,3
PhD,Single,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,3,11,0,59,38,0,6,347,2,1
Master,Single,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,3,11,1,40,35,2,4,596,0,1
Bachelor,Relationship,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,3,11,0,36,53,1,5,203,1,1
